id,name,text,trans
0000000000000,プロデューサー,摩美々、何を見てるんだ？,"마미미, 뭘 보고 있는 거야?"
1005001001110010,摩美々,雑誌のー、パンクファッション特集ですー,잡지에 나온ー 펑크 패션 특집이에요ー
1005001001110020,摩美々,"プロデューサーはこの中で、
１番どれが私に似合うと思いますー？","프로듀서는 이 중에서
뭐가 가장 저한테 어울리는 거 같나요ー?"
0000000000000,プロデューサー,（そうだな……）,(그러네……)
select,,"タータンチェックの
ブーツ","격자 무늬가 있는
부츠"
select,,黒のジャケット,검은색 자켓
select,,ピンクのパーカー,핑크색 파카
1005001001110030,摩美々,"このデザイン、私も好きですねー
へー、プロデューサーもこれですかぁ","이 디자인 저도 좋아해요ー
헤에ー 프로듀서도 이거라고 생각하나요"
1005001001110040,摩美々,結構ファッションのこと、わかってるんですねー,패션에 대해서 꽤 알고 계시네요ー
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 얘기했다)"
1005001001110050,摩美々,"定番な感じですよねー
コーディネートが引き締まりますー","정석이라는 느낌이네요ー
간결한 코디가 되겠어요ー"
1005001001110060,摩美々,これなら、そんなに外すことはないですかねー,이거라면 그렇게 이상하지는 않겠네요ー
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 평범하게 얘기했으려나)"
1005001001110070,摩美々,あー色はいいんですけどねー色は……,아ー 색은 좋은데요ー 색은……
1005001001110080,摩美々,"デザインがなんだか……
もうちょっと、なんですケド……","디자인이 뭔가……
뭔가 조금 그런데요……"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……),(윽…… 실수했다. 다른 얘기를 했으면 좋았을 텐데……)
info,produce_communications/100500100111.json,
译者,,
